tconst,parentTconst,seasonNumber,episodeNumber,numVotes,showRating,showVotes,titleType,primaryTitle,averageRating,startYear,endYear,runtimeMinutes,genres,numSeasons,showVariance
tt0701170,tt0096697,10,15,1352,8.7,350598,tvSeries,The Simpsons,7.3,1989,\N,22,"Animation,Comedy",31,0.642793387
tt0701181,tt0096697,10,21,1283,8.7,350598,tvSeries,The Simpsons,7.1,1989,\N,22,"Animation,Comedy",31,0.642793387
tt0701272,tt0096697,10,22,1311,8.7,350598,tvSeries,The Simpsons,7.4,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701102,tt0096697,11,3,1299,8.7,350598,tvSeries,The Simpsons,7.5,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701093,tt0096697,11,7,1218,8.7,350598,tvSeries,The Simpsons,7,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701166,tt0096697,11,10,1188,8.7,350598,tvSeries,The Simpsons,7.3,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701095,tt0096697,11,11,1194,8.7,350598,tvSeries,The Simpsons,6.8,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701250,tt0096697,11,12,1207,8.7,350598,tvSeries,The Simpsons,7.3,1989,\N,22,"Animation,Comedy",31,0.148393195
tt0701203,tt0096697,11,13,1354,8.7,350598,tvSeries,The Simpsons,6.4,1989,\N,22,"Animation,Comedy",31,0.642793387
tt0701052,tt0096697,11,14,1439,8.7,350598,tvSeries,The Simpsons,7.7,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701177,tt0096697,11,15,1281,8.7,350598,tvSeries,The Simpsons,7.3,1989,\N,22,"Animation,Comedy",31,0.642793387
tt0767441,tt0096697,11,18,1183,8.7,350598,tvSeries,The Simpsons,7.3,1989,\N,22,"Animation,Comedy",31,0.642793387
tt0767444,tt0096697,11,20,1183,8.7,350598,tvSeries,The Simpsons,7.1,1989,\N,22,"Animation,Comedy",31,0.642793387
tt0701068,tt0096697,11,22,1524,8.7,350598,tvSeries,The Simpsons,7.9,1989,\N,22,"Animation,Comedy",31,0.413088156
tt0763040,tt0096697,12,1,1408,8.7,350598,tvSeries,The Simpsons,7.6,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701049,tt0096697,12,2,1334,8.7,350598,tvSeries,The Simpsons,7.5,1989,\N,22,"Animation,Comedy",31,0.148393195
tt0762497,tt0096697,12,9,1478,8.7,350598,tvSeries,The Simpsons,8.1,1989,\N,22,"Animation,Comedy",31,0.642793387
tt0701297,tt0096697,12,11,1258,8.7,350598,tvSeries,The Simpsons,7.4,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701086,tt0096697,12,13,1110,8.7,350598,tvSeries,The Simpsons,7.1,1989,\N,22,"Animation,Comedy",31,0.413088156
tt0701190,tt0096697,12,14,1347,8.7,350598,tvSeries,The Simpsons,7.2,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701079,tt0096697,12,16,1163,8.7,350598,tvSeries,The Simpsons,6.6,1989,\N,22,"Animation,Comedy",31,0.148393195
tt0701213,tt0096697,12,17,1202,8.7,350598,tvSeries,The Simpsons,6.8,1989,\N,22,"Animation,Comedy",31,0.148393195
